stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
14241,126197,900 E / Herbert Ave (SB),900 E & 1038 S,40.74648,-111.865433,,,,,,0
14242,126198,900 E / Yale Ave (SB),1086 S 900 E & Belmont Ave,40.745499,-111.865415,,,,,,0
14243,126199,900 E / Princeton Ave (SB),900 E & 1142 S,40.744093,-111.865429,,,,,,0
14244,126200,900 E / 1300 S (SB),900 E & 1296 S,40.74179,-111.865443,,,,,,0
14245,126201,900 E / Browning Ave (SB),1426 S 900 E & Browning Ave,40.73874,-111.865395,,,,,,0
14247,126202,900 E / Bryan Ave (SB),1554 S 900 E & Bryan Ave,40.735709,-111.865417,,,,,,0
14248,126203,900 E / 1700 S (SB),1660 S 900 E & Bryan Ave,40.733935,-111.865439,,,,,,0
14249,126204,900 E / Wilson Ave (SB),1776 S 900 E & Bryan Ave,40.731687,-111.865402,,,,,,0
14250,126205,900 E / Garfield Ave (SB),1864 S 900 E & Bryan Ave,40.729515,-111.865405,,,,,,0
14251,126206,900 E / Hollywood Ave (SB),900 E & 1962 S,40.727472,-111.865445,,,,,,0
14253,126208,900 E / Sugarmont Dr and Stn (SB),900 E & 2208 S,40.723052,-111.86548,,,,,,0
14255,126210,900 E / Parkway Ave (SB),2398 S 900 E & Parkway Ave,40.718645,-111.865502,,,,,,0
14257,137494,900 E / Stratford Ave (SB),2512 S 900 E & Stratford Ave,40.715963,-111.865521,,,,,,0
14258,137044,900 E / Malvern Ave (SB),2580 S 900 E & College St,40.714384,-111.865532,,,,,,0
14259,137023,900 E / Charlton Cir (SB),2774 S 900 E & 2700 S,40.710902,-111.865548,,,,,,0
14260,137024,900 E / Atkin Ave (SB),2826  & ATKIN AVE,40.70976,-111.865564,,,,,,0
14261,137025,900 E / Zenith Ave (SB),2904 S 900 E & 2700 S,40.70801,-111.865554,,,,,,0
14262,137026,900 E / Elgin Ave (SB),2994 S 900 E & Elgin Ave,40.705995,-111.865559,,,,,,0
14263,137027,900 E / Gregson Ave (SB),3050 S 900 E & Gregson Ave,40.704434,-111.865554,,,,,,0
14264,137028,900 E / Springview Dr (SB),3188 S 900 E & Gregson Ave,40.701765,-111.865553,,,,,,0
14265,137031,900 E / Scott Ave (SB),3460 S 900 E & 3300 S,40.69612,-111.865567,,,,,,0
14266,137033,900 E / 3600 S (SB),3594  & 3580 S,40.693113,-111.865587,,,,,,1
14268,137035,900 E / White Maple Way (SB),3738 S 900 E & Whitemaple Way,40.689972,-111.865607,,,,,,0
14269,137036,900 E / 3800 S (SB),3800 S 900 E & Whitemaple Way,40.688734,-111.865627,,,,,,0
14270,137324,3900 S @ 910 E,910 E 3900 S & 900 E,40.68695,-111.864624,,,,,,1
14271,137325,3900 S @ 994 E,994 E 3900 S & 1000 E,40.686985,-111.862877,,,,,,0
14277,154040,State St @ 6150 S,6150 S State St & 6000 S,40.637687,-111.889034,,,,,,1
14295,137507,Vine St @ 61 E,61 E Vine St & 4310 S,40.664448,-111.88914,,,,,,0
14296,137508,Vine St @ 74 W,74 W Vine St & 4310 S,40.663143,-111.892822,,,,,,1
14297,153168,Cottonwood St / Woodrow St (SB),5192 S Cottonwood St,40.659234,-111.894311,,,,,,1
14298,BB153169,Murray Central Station (Bay B),5144 S Cottonwood St & Grant St,40.659997,-111.895304,,,,,,1
14299,137326,3900 S @ 1112 E,1112 E 3900 S & S 1100 E,40.686942,-111.859315,,,,,,1
14300,137328,3900 S @ 1200 E,1200 E 3900 S,40.686958,-111.856951,,,,,,1
14301,137373,4500 S @ 1199 E,1199 E 4500 S & 1200 E,40.674403,-111.857159,,,,,,0
14309,137340,3900 S @ 1085 E,1085 E 3900 S & 1100 E,40.687126,-111.860286,,,,,,1
14310,137341,3900 S @ 985 E,985 E 3900 S,40.687147,-111.863165,,,,,,0
14311,137006,900 E / 3900 S (NB),3875 S 900 E & College St,40.687617,-111.865441,,,,,,1
14312,137007,900 E / 3800 S (NB),3765 S 900 E & College St,40.688989,-111.865422,,,,,,0
14313,137008,900 E / 3700 S (NB),3721 S 900 E & College St,40.690774,-111.865412,,,,,,0
14314,137009,900 E / 3600 S (NB),3619 S 900 E & College St,40.69267,-111.865403,,,,,,0
14316,153170,Cottonwood St / Woodrow St (NB),5149 S Cottonwood St & Smiley Dr,40.658488,-111.8945,,,,,,0
14317,153171,Vine St @ 79 W,79 W Vine St & Smiley Dr,40.662656,-111.892903,,,,,,0
14318,137509,Vine St @ 44 W,44 E VINE ST & POPLAR ST,40.664272,-111.890023,,,,,,0
14319,137461,State St @ 4721 S,4695  & MILLER ST,40.669874,-111.888089,,,,,,0
14320,137462,State St @ 4601 S,4601  & 4600 S,40.671794,-111.888082,,,,,,0
14321,137353,4500 S / Atwood Blvd (EB),218 E 4500 S & State St,40.67421,-111.88479,,,,,,0
14323,137355,4500 S @ 360 E,360 E 4500 S & Creek Ln,40.674227,-111.880581,,,,,,0
